,date,T,TM,Tm,SLP,H,PP,VV,V,VM,Month,years
0,1,19.3,26.0,13.0,1016.2,55.0,0.0,8.5,8.1,10.7,1,1973
1,2,16.0,23.0,10.0,1015.7,60.0,0.0,8.9,7.2,9.1,1,1973
2,3,20.5,28.0,14.0,1014.9,49.0,0.0,10.0,5.4,7.2,1,1973
3,5,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
4,8,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
5,9,16.6,26.0,12.0,1014.5,48.0,0.0,6.6,8.0,18.3,1,1973
6,10,19.4,31.0,11.0,1014.0,57.0,0.0,8.9,5.6,14.8,1,1973
7,11,17.3,24.0,10.0,1014.1,66.0,0.0,6.9,8.3,18.3,1,1973
8,15,18.8,25.0,9.0,1012.9,35.0,0.0,8.9,20.2,83.2,1,1973
9,16,17.8,27.0,8.0,1016.1,44.0,0.0,8.5,1.9,7.2,1,1973
10,17,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
11,18,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
12,19,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
13,20,22.0,27.0,14.0,1013.0,57.0,0.0,7.6,16.9,27.8,1,1973
14,22,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
15,23,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
16,26,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
17,27,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
18,28,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
19,29,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
20,30,15.0,27.0,6.0,1017.1,42.0,0.0,8.5,7.2,14.8,1,1973
21,31,18.27,26.4,10.7,1014.85,51.3,0.0,8.33,8.879999999999999,21.14,1,1973
22,1,15.7,25.0,8.0,1018.5,40.0,0.0,10.0,11.3,18.3,2,1973
23,2,15.7,29.0,9.0,1015.7,57.0,0.0,8.5,7.8,14.8,2,1973
24,3,10.0,16.0,0.0,1018.4,36.54545454545455,0.0,8.5,8.49,15.2,2,1973
25,5,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
26,7,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
27,9,17.5,28.0,9.0,1017.5,37.0,0.0,2.6,8.7,14.8,2,1973
28,10,18.5,29.0,9.0,1016.9,36.0,0.0,2.6,5.0,14.8,2,1973
29,11,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
30,12,23.7,33.0,13.0,1014.3,25.0,0.0,7.7,1.5,9.1,2,1973
31,16,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
32,17,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
33,18,22.7,32.0,14.0,1013.5,21.0,0.0,8.0,5.4,9.1,2,1973
34,19,21.8,29.0,17.0,1013.5,29.0,0.0,7.2,5.0,10.7,2,1973
35,20,22.6,32.0,17.0,1012.4,41.0,0.0,10.0,8.1,18.3,2,1973
36,24,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
37,25,24.8,35.0,15.0,1010.6,27.0,0.0,8.5,8.49,15.2,2,1973
38,26,20.8,26.0,15.0,1008.3,47.0,0.0,10.0,17.8,21.9,2,1973
39,27,19.766666666666666,28.75,12.083333333333334,1014.0416666666666,36.54545454545455,0.0,7.8,8.49,15.2,2,1973
40,28,23.4,31.0,19.0,1008.9,42.0,0.0,10.0,14.3,20.2,2,1973
41,1,25.78,34.53333333333333,16.866666666666667,1010.7384615384616,28.142857142857142,0.0,9.24,12.007142857142856,18.97142857142857,3,1973
42,2,22.2,29.0,13.0,1011.2,37.0,0.0,10.0,13.1,18.3,3,1973
43,3,23.0,31.0,13.0,1010.7384615384616,32.0,0.0,8.0,7.6,10.7,3,1973
44,4,24.2,33.0,14.0,1012.4,28.0,0.0,10.0,4.3,7.2,3,1973
45,8,27.0,37.0,18.0,1007.6,30.0,0.0,10.0,18.9,33.2,3,1973
